"Parameter","CC_est","CC_SE","CC_p","CC_N","MI_est","MI_SE","MI_p","MI_FMI"
"S+A: warmth_z x blame_china",0.128892709862827,0.114159607147301,0.258873765891121,4234,0.160769083437449,0.10927868027606,0.141241275518425,0.000387373318016494
"S+A: blame effect at warmth=+1",2.77113604719028,0.163479079734217,1.89165360608291e-64,4234,2.85330417589895,0.153923821264107,1.03635464203459e-76,0.000162038592015855
"S+A: warmth_z main effect",-0.246615917448826,0.100131932247861,0.0137814580669412,4234,-0.278285049448512,0.0964513395029017,0.00391118190526996,0.000271515002645684
"S-only: warmth_z x blame_china",-0.209823515557823,0.0893010622087218,0.0187926116095345,4234,-0.171132661903915,0.0828491805043366,0.0388670067241423,0.00134671712555475
"S-only: blame effect at warmth=+1",0.600276041083685,0.133984524977012,7.45768517384563e-06,4234,0.681463256031637,0.121483398589763,2.02893674768558e-08,0.000615710984750152
